Application,Technique,Pipeline,Time Steps,Temporal Ratio,Cameras,Spatial Ratio,Mapping,Execution Time (hours,Avg. Power (kW),Energy (kWh),Storage (GB)
asteroid,raycasting,posthoc,1000,0.4,1,0.5,time-shared,2.8,29.57,82.77,1562.54
asteroid,raycasting,posthoc,1000,0.4,1,0.5,space-shared,4.17,39.49,164.55,1562.54
asteroid,raycasting,posthoc,1000,0.4,1,1,time-shared,4.19,24.74,103.67,3125.08
asteroid,raycasting,posthoc,1000,0.4,1,1,space-shared,5.56,33.38,185.43,3125.08
asteroid,raycasting,posthoc,1000,0.6,1,0.12,time-shared,1.94,36,69.85,585.95
asteroid,raycasting,posthoc,1000,0.6,1,0.12,space-shared,3.3,45.95,151.57,585.95
asteroid,raycasting,posthoc,1000,0.6,1,0.25,time-shared,2.46,31.65,77.92,1171.9
asteroid,raycasting,posthoc,1000,0.6,1,0.25,space-shared,3.82,41.79,159.63,1171.9
asteroid,raycasting,posthoc,1000,0.6,1,0.5,time-shared,3.5,26.71,93.59,2343.81
asteroid,raycasting,posthoc,1000,0.6,1,0.5,space-shared,4.86,36.06,175.29,2343.81
asteroid,raycasting,posthoc,1000,0.6,1,1,time-shared,5.59,22.35,124.94,4687.62
asteroid,raycasting,posthoc,1000,0.6,1,1,space-shared,6.94,29.75,206.62,4687.62
asteroid,raycasting,posthoc,1000,0.8,1,0.12,time-shared,2.12,34.26,72.76,781.27
asteroid,raycasting,posthoc,1000,0.8,1,0.12,space-shared,3.47,44.47,154.4,781.27
asteroid,raycasting,posthoc,1000,0.8,1,0.25,time-shared,2.82,29.62,83.52,1562.54
asteroid,raycasting,posthoc,1000,0.8,1,0.25,space-shared,4.17,39.64,165.15,1562.54
asteroid,raycasting,posthoc,1000,0.8,1,0.5,time-shared,4.21,24.8,104.42,3125.08
asteroid,raycasting,posthoc,1000,0.8,1,0.5,space-shared,5.56,33.49,186.04,3125.08
asteroid,raycasting,posthoc,1000,0.8,1,1,time-shared,6.99,20.91,146.22,6250.16
asteroid,raycasting,posthoc,1000,0.8,1,1,space-shared,8.33,27.34,227.81,6250.16
asteroid,raycasting,posthoc,1000,1,1,0.12,time-shared,2.31,32.79,75.68,976.59
asteroid,raycasting,posthoc,1000,1,1,0.12,space-shared,3.65,43.13,157.24,976.59
asteroid,raycasting,posthoc,1000,1,1,0.25,time-shared,3.18,28.05,89.12,1953.17
asteroid,raycasting,posthoc,1000,1,1,0.25,space-shared,4.51,37.81,170.68,1953.17
asteroid,raycasting,posthoc,1000,1,1,0.5,time-shared,4.92,23.45,115.25,3906.35
asteroid,raycasting,posthoc,1000,1,1,0.5,space-shared,6.25,31.49,196.79,3906.35
asteroid,raycasting,posthoc,1000,1,1,1,time-shared,8.39,19.96,167.5,7812.7
asteroid,raycasting,posthoc,1000,1,1,1,space-shared,9.72,25.61,249,7812.7
asteroid,raycasting,posthoc,5000,0.2,1,0.12,time-shared,7.86,40.71,320.12,976.59
asteroid,raycasting,posthoc,5000,0.2,1,0.12,space-shared,14.76,49.43,729.46,976.59
asteroid,raycasting,posthoc,5000,0.2,1,0.25,time-shared,8.73,38.2,333.57,1953.17
asteroid,raycasting,posthoc,5000,0.2,1,0.25,space-shared,15.63,47.55,742.9,1953.17
asteroid,raycasting,posthoc,5000,0.2,1,0.5,time-shared,10.47,34.35,359.69,3906.35
asteroid,raycasting,posthoc,5000,0.2,1,0.5,space-shared,17.36,44.29,769.01,3906.35
asteroid,raycasting,posthoc,5000,0.2,1,1,time-shared,13.95,29.54,411.94,7812.7
asteroid,raycasting,posthoc,5000,0.2,1,1,space-shared,20.83,39.42,821.23,7812.7
asteroid,raycasting,posthoc,5000,0.4,1,0.12,time-shared,8.78,38.11,334.69,1953.17
asteroid,raycasting,posthoc,5000,0.4,1,0.12,space-shared,15.63,47.59,743.65,1953.17
asteroid,raycasting,posthoc,5000,0.4,1,0.25,time-shared,10.52,34.37,361.57,3906.35
asteroid,raycasting,posthoc,5000,0.4,1,0.25,space-shared,17.36,44.38,770.52,3906.35
asteroid,raycasting,posthoc,5000,0.4,1,0.5,time-shared,14,29.57,413.83,7812.7
asteroid,raycasting,posthoc,5000,0.4,1,0.5,space-shared,20.83,39.49,822.74,7812.7
asteroid,raycasting,posthoc,5000,0.4,1,1,time-shared,20.95,24.74,518.33,15625.39
asteroid,raycasting,posthoc,5000,0.4,1,1,space-shared,27.78,33.38,927.17,15625.39
asteroid,raycasting,posthoc,5000,0.6,1,0.12,time-shared,9.7,36,349.26,2929.76
asteroid,raycasting,posthoc,5000,0.6,1,0.12,space-shared,16.49,45.95,757.84,2929.76
asteroid,raycasting,posthoc,5000,0.6,1,0.25,time-shared,12.31,31.65,389.58,5859.52
asteroid,raycasting,posthoc,5000,0.6,1,0.25,space-shared,19.1,41.79,798.14,5859.52
asteroid,raycasting,posthoc,5000,0.6,1,0.5,time-shared,17.52,26.71,467.96,11719.04
asteroid,raycasting,posthoc,5000,0.6,1,0.5,space-shared,24.31,36.06,876.47,11719.04
asteroid,raycasting,posthoc,5000,0.6,1,1,time-shared,27.95,22.35,624.71,23438.09
